Brand	Vendor	Name	Code name	Micro arch.	Launch	Bus	Host	Form	Lith.	Core freq.	Shader freq.	Memory freq.	Mem. size	Mem. width, type	System	Kernel module	OpenGL driver	OpenGL	GLSL	Bones	Tester	Availability	Updated	Unv.	Status	Preset	Resolution	Note	FPS	
AMD	AMD	Radeon Pro W7600	Navi 33	RDNA 3.0	2023-08-03	PCIe 4.0 x8	workstation	discrete	6nm	244MHz	-	1800MT/s	8GB	128-bit, GDDR6	Ubuntu 23.10	Linux 6.5.0 amdgpu	Mesa 23.2.1 radeonsi	Core 4.6	Core 4.60	256	illwieckz	configured	2023-10-27	0.55~	passed	ultra	3840×2160	-	294-330	
AMD	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 23.10	Linux 6.5.0 amdgpu	ATI 23.20 oglp	Core 4.6	Core 4.60	256	illwieckz	unconfigured	2023-10-27	0.55~	passed	ultra	3840×2160	-	246-307	0.54:105-125
AMD	AMD	Radeon 780M	Navi III IGP	RDNA 3.0	2023-01-04	PCIe 4.0 x8	laptop	integrated	4nm	1500-2700MHz	-	-	4GB	-	Fedora	Linux 6.5.6 amdgpu	Mesa 23.2.1 radeonsi	Core 4.6	Core 4.60	256	kai	configured	2023-12-21	0.54.1	passed	ultra	2256×1504+	-	120	
AMD	Valve (Steam Deck)	Custom 0405	VanGhogh	RDNA 2.0	2022-02-25	PCIe 4.0 x8?	console	integrated	7nm	1600MHz	1375MHz	-	16GB	128-bit, LPDDR5	Ubuntu 	Linux 5.15.0 amdgpu	Mesa 22.0.5 radeonsi	Core 4.6	Core 4.60	256	illwieckz	configured	2022-10-08	0.53.2	passed	ultra	3840×2160	-	87-82	
AMD	Asus	Radeon RX 6800S	Navi 23	RDNA 2.0	2022-01-04	PCIe 4.0 x8	laptop	-	7nm	1975MHz	-	1600MT/s	8GB	128-bit, GDDR6	Arch	Linux 5.18.3 amdgpu	Mesa 22.1.1 radeonsi	Core 4.6	Core 4.60	256	kai	configured	2022-06-17	0.52.1	passed	ultra	2560×1600+	-	-	
AMD	Asus	Radeon RX 680M	Rembrandt	RDNA 2.0	2022-01-04	PCIe 4.0 x8	laptop	integrated	7nm	2400MHz	-	-	-	-	Arch	Linux 5.18.3 amdgpu	Mesa 22.1.1 radeonsi	Core 4.6	Core 4.60	256	kai	configured	2022-06-17	0.52.1	passed	ultra	2560×1600+	-	-	
AMD	Apple	Radeon Pro 5500M	Navi 14	RDNA 1.0	2019-10-07	PCIe 3.0 x16	laptop	onboard	-	-	-	-	4GB	128-bit, GDDR6	macOS 10.15.7	Darwin 19.6.0	ATI 4.4.17	Core 4.1	4.10	233	kai	configured	2021-04-30	0.52~	passed	ultra	3840×2160	-	-	
AMD	Gigabyte	Radeon RX 5700 XT	Navi 10 XT	RDNA 1.0	2019-07-07	PCIe 3.0 x16	workstation	discrete	-	-	-	-	8GB	256-bit, GDDR6	Arch	Linux 6.0.12 amdgpu	Mesa 22.2.3 radeonsi	Core 4.6	Core 4.60	256	kai	configured	2022-12-19	0.53.2	passed	ultra	3840×2160	-	-	2560x1440
AMD	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Windows 10 2004	NT 19041.508	Adrenalin 20.7.1	Core 4.6	Core 4.60	256	kai	configured	2020-10-12	0.51.1	passed	ultra	3840×2160	-	-	
AMD	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	macOS 10.15.7	Darwin 19.6.0	ATI 3.10.18	2.1	1.20	233	kai	unconfigured	2020-10-12	0.51.1	passed	ultra	3840×2160	-	-	
AMD	AMD	Radeon RX Vega 8	Picasso / Raven2	GCN 5.0	2019-07-07	PCIe 3.0 x16?	workstation	integrated	12nm	1250MHz	N/A	-	2GB	DDR4-2133	Ubuntu 20.04	Linux 5.8.0 amdgpu	Mesa 20.2.6 radeonsi	Core 4.6	Core 4.60	256	illwieckz	unconfigured	2021-10-24	0.52.1	passed	high	3840×2160	-	75-72	
AMD	Atari (VCS 800)	Radeon RX Vega 3 (R1606G)	Picasso / Raven2	GCN 5.0	2019-04-16	PCIe 3.0 x8?	console	integrated	14nm	1200MHz	N/A	-	2GB	DDR4-2400	Ubuntu 20.04	Linux 5.8.0 amdgpu	Mesa 20.2.6 radeonsi	Core 4.6	Core 4.60	256	illwieckz	unconfigured	2021-01-09	0.52~	passed	ultra	1920×1080	-	62	
AMD	AMD	Radeon VII	Vega 20	GCN 5.0	2019-02-07	PCIe 3.0 x16	workstation	discrete	-	-	-	-	16GB	4096-bit, HBM2	Windows 10 2004	NT 19041.508	Adrenalin 20.7.1	Core 4.6	Core 4.60	256	kai	configured	2020-10-12	0.51.1	passed	ultra	3840×2160	-	-	
AMD	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	macOS 10.15.7	Darwin 19.6.0	ATI 3.10.18	2.1	1.20	233	kai	unconfigured	2020-10-12	0.51.1	passed	ultra	1920×1080	-	-	
AMD	Sapphire	Radeon RX Vega 56 Nitro+	Vega 10 XL	GCN 5.0	2017-08-28	PCIe 3.0 x16	workstation	discrete	14nm	N/A	825-1590MHz	167-800MHz	8GB	2048-bit, HBM2	Mageia 8 beta 1	Linux 5.7.6 amdgpu	Mesa 20.1.1 radeonsi	Core 4.6	Core 4.60	256	illwieckz	lost	2020-10-07	0.52~	passed	ultra	3840×2160	-	-	
AMD	AMD	Radeon Instinct MI25	Vega 10	GCN 5.0	2017-06-20	PCIe 3.0 x16	server	discrete	14nm	1400-1500MHz	-	1890MT/s	16GB	4096-bit, HBM2	Ubuntu 22.04.1	Linux 5.15.0 amdgpu	Mesa 22.0.5 radeonsi	Core 4.6	Core 4.60	256	illwieckz	unconfigured	2022-11-14	0.53.2	passed	ultra	3840×2160	-	-	
AMD	Asus	Radeon RX 570	Polaris 20 XL	GCN 4.0	2017-04-18	PCIe 3.0 x16	workstation	discrete	14nm	N/A	1168-1244MHz	-	4GB	256-bit, GDDR5	Ubuntu 20.04	Linux 5.4.0 amdgpu	Mesa 20.0.8 radeonsi	Core 4.6	Core 4.60	256	illwieckz	foreign	2020-09-02	0.52~	passed	ultra	3840×2160	-	-	
AMD	QNAP (TVS-x73e)	Radeon R7 (RX-421BD)	Carrizo / Wani	GCN 3.0	2015-10-21	PCIe 3.0 x16?	NAS	integrated	28nm	N/A	800MHz	-	512MB	DDR4-2400	Ubuntu 20.04	Linux 5.4.0 amdgpu	Mesa 20.0.8 radeonsi	Core 4.6	Core 4.60	256	illwieckz	unconfigured	2020-07-21	0.52~	passed	ultra	2560×1440	-	-	
AMD	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 20.04	Linux 5.4.0 amdgpu	ATI 20.20 oglp	Core 4.6	Core 4.60	256	illwieckz	unconfigured	2020-08-20	0.52~	passed	medium	2560×1440	-	-	
AMD	MSI	Radeon R9 390X OC Edition	Grenada XT	GCN 2.0	2015-06	PCIe 3.0 x16 (2.1)	workstation	discrete	28nm	N/A	300-1080MHz	150-1050MHz	8GB	512-bit, GDDR5	Ubuntu 20.04	Linux 5.8.0 amdgpu	Mesa 21.0.1 radeonsi	Core 4.6	Core 4.60	256	illwieckz	unconfigured	2021-06-04	0.52	passed	ultra	3840×2160	-	180	
AMD	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 20.04.2	Linux 5.8.0 amdgpu	Mesa 21.3.0 zink/radv	Core 4.6	Core 4.60	256	illwieckz	unconfigured	2021-07-15	0.52.1	passed	ultra	3840×2160	-	100-110	
AMD	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 20.04	Linux 5.4.0 amdgpu	ATI 20.20 oglp	Core 4.6	Core 4.60	256	illwieckz	unconfigured	2020-08-27	0.52~	passed	ultra	3840×2160	-	100?	
AMD	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 14.04.6	Linux 3.19.0 fglrx_pci	ATI 15.302 fglrx	Core 4.3	Core 4.40	256	illwieckz	unconfigured	2021-06-04	0.52	passed	ultra	3840×2160	-	110	
AMD	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Ubuntu 20.04.2	Linux 5.4.0 radeon	Mesa 20.0.8 radeonsi	Core 4.6	Core 4.60	256	illwieckz	unconfigured	2020-07-05	0.52~	passed	ultra	3840×2160	-	180	
AMD	Asus	Radeon R7 240-2GD5-L	Oland PRO	GCN 1.0	2013-08-08	PCIe 2.1 x16	workstation	lowprofile	28nm	N/A	730-780MHz	1800MT/s?	2GB	128-bit, GDDR3	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 radeonsi	Core 4.5	Core 4.50	256	illwieckz	unconfigured	2020-09-23	0.52~	passed	ultra	1920×1080	-	69~	
AMD	AMD	FirePro S10000	2×Zaphod (Tahiti Pro GL)	GCN 1.0	2012-11-12	PCIe 3.0 x16	workstation	discrete	28nm	825MHz	N/A	1250MHz	2×3GB	384-bit, GDDR5	Ubuntu 20.04.4 	Linux 5.13.0 radeon	Mesa 21.2.5 radeonsi	Core 4.5	Core 4.50	256	illwieckz	unconfigured	2022-04-09	0.53.2	passed	ultra	3840×2160	-	76-77	
AMD	HIS	Radeon HD 7970 GHZ Edition	Tahiti XT2	GCN 1.0	2012-06-01	PCIe 3.0 x16 (2.1)	workstation	discrete	28nm	1050MHz	N/A	1500MHz	3GB	384-bit, GDDR5	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 radeonsi	Core 4.5	Core 4.50	256	golyath	unconfigured	2020-12-25	0.52~	passed	ultra	3840×2160	-	140-150	
AMD	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	↑	Windows 10 2004	NT	Adrenalin	Core 4.5	Core 4.50	256	golyath	configured	2020-12-25	0.51.1	passed	high	1920×1080	-	70-120	
AMD	Asus	Radeon HD 7450	RV910, Caicos	TeraScale 2	2012-01	PCIe 2.1 x16	workstation	lowprofile	40nm	-	N/A	-	2GB	64-bit, DDR3	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r600	Core 3.3	Core 3.30	256	illwieckz	lost	2020-07-18	0.52~	passed	low	1280×720	-	-	
AMD	Gigabyte	Radeon HD 6990	RV970, 2×Antilles XT	TeraScale 3	2011-03-08	PCIe 2.1 x16	workstation	discrete	40nm	830MHz	N/A	1250MHz	2×2GB	256-bit, GDDR5	Ubuntu 20.04.4	Linux 5.13.0 radeon	Mesa 20.0.4 r600	Core 4.3	Core 4.30	256	illwieckz	unplugged	2022-03-30	0.53~	passed	ultra	3840×2160	-	80-80	
AMD	XFX	Radeon HD 6970	RV970, Cayman XT	TeraScale 3	2010-12-15	PCIe 2.1 x16	workstation	discrete	40nm	880MHz	N/A	1375MHz	2GB	256-bit, GDDR5	Ubuntu 20.04.4	Linux 5.13.0 radeon	Mesa 20.0.8 r600	Core 4.3	Core 4.30	256	illwieckz	unplugged	2022-03-31	0.52	passed	ultra	3840×2160	-	83-83	
AMD	Asus	Radeon HD 6950	RV970, Cayman PRO	TeraScale 3	2010-12-14	PCIe 2.1 x16	workstation	discrete	40nm	880MHz	N/A	1250MHz	2GB	256-bit, GDDR5	Ubuntu 22.04.3	Linux 6.2.0 radeon	Mesa 23.0.4	Core 4.5	Core 4.50	256	illwieckz	unplugged	2023-10-27	0.55~	passed	ultra	1920×1080	-	130-160	0.54:110-146
AMD	Dell	FirePro 3D V4800	RV830, Redwood XT GL	TeraScale 2	2010-04-26	PCIe 2.1 x16	workstation	discrete	40nm	775MHz	N/A	900MHz	1GB	128-bit, GDDR5	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r600	Core 3.3	Core 3.30	256	illwieckz	unplugged	2020-09-04	0.52~	passed	medium	2560×1440	-	-	
ATi	Gigabyte	Radeon HD 5870 Eyefinity 6	RV870, Cypress XT	TeraScale 2	2010-03-11	PCIe 2.1 x16	workstation	discrete	40nm	850MHz	N/A	4800MHz	2GB	256-bit, GDDR5	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r600	Core 4.3	Core 4.30	256	illwieckz	unplugged	2020-07-08	0.52~	passed	ultra	1920×1080	-	-	
ATi	MSI	Radeon HD 5450	RV810, Cedar	TeraScale 2	2010-02-04	PCIe 2.1 x16	workstation	lowprofile	40nm	650MHz	N/A	400?800MHz?	1GB	64-bit, DDR3?	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r600	Core 3.3	Core 3.30	256	illwieckz	unplugged	2020-08-04	0.52~	passed	low	1280×1024	-	-	
ATi	Asus	Radeon HD 5670	RV830, Redwood XT	TeraScale 2	2010-01-14	PCIe 2.1 x16	workstation	discrete	40nm	775MHz	N/A	1000MHz	1GB	64-bit, GDDR5	Ubuntu 20.04	Linux 5.4.0 radeon	Mesa 20.0.8 r600	Core 3.3	Core 3.30	256	illwieckz	lost	2020-07-18	0.52~	passed	low	1920×1080	-	-	
