Human Players	Generation	Concept Artist	Modeller	Texturer	Animator	Implementor	Status	License
Male	3		RXMT	Casey (female texture reuse)			Modelled	CC BY-SA 3.0
Female	3		Casey	Casey			Modelled	CC BY-SA 3.0
Human Weapons	Generation	Concept Artist	Modeller	Texturer	Animator	Implementor	Status	License
Pistol	3	AlexBo	AlexRaidock	AlexRaidock			Modelled	CC BY-SA 3.0
Pistol	3	AlexBo	Cupside	Cupside		Ishq	Modelled	CC BY-SA 3.0
Painsaw	3	AlexBo	AlexRaidock			Ishq	Modelled	CC BY-SA 3.0
Sniper rifle/MD	3	AlexBo	AlexRaidock			Ishq	Modelled	CC BY-SA 3.0
Chaingun/HMG	3	AlexBo	AlexRaidock			Ishq	Modelled	CC BY-SA 3.0
Alien Buildables	Generation	Concept Artist	Modeller	Texturer	Animator	Implementor	Status	License
Hive insect	3		lhdc	lhdc	gavlig		Animated	CC BY-SA 3.0
